gate_id	required_check	failure_condition	maximum_response
F01	full_metric_chart	H_chart_not_bijective_to_SPD_det_one	STOP_LOCAL_ATLAS
F02	shortest_pair_unimodularity	independent_co_shortest_pair_with_abs_det_gt_one	WALL_CLASSIFICATION_INCOMPLETE
F03	reduced_wall_sufficiency	another_primitive_character_shorter_on_registered_wall	WALL_CLASSIFICATION_INCOMPLETE
F04	maximum_tie	tie_multiplicity_exceeds_derived_bound	RETAIN_HIGHER_VERTEX
F05	GL2Z_covariance	W_min_or_norm_not_covariant	REJECT_GLOBAL_OBJECT
F06	connection_covariance	b_w_not_invariant_under_joint_transition	REJECT_PROJECTED_CONNECTION
F07	local_constancy	unique_w_changes_without_crossing_tie_set	REJECT_CHAMBER_LOGIC
F08	cap_descent	phase_extended_with_nonzero_w_of_collapsed_cycle_and_no_vanishing_amplitude	REJECT_CAP_RULING
F09	toric_existence	global_character_claimed_on_FC11_or_lost_rank	REJECT_GLOBAL_RULING
F10	sign_discipline	unoriented_line_called_signed_phase	REJECT_PROMOTION
F11	physical_discipline	canonical_invariant_called_physically_selected	REJECT_PROMOTION
F12	scope_discipline	density_carrier_action_matter_or_GPU_claimed	REJECT_SCOPE
