claim	result	status	precision
local_null_lines_shared_by_orthonormal_frames	YES	DERIVED_CONDITIONAL_WRL	SO_plus_1_1_rescales_each_null_line
local_light_speed_measured_by_static_orthonormal_frame	c_E	DERIVED_CONDITIONAL_WRL	coordinate_slope_is_not_local_speed
static_coordinate_light_speed_at_X	zero	DERIVED_CONDITIONAL_WRL	dr_dt=plus_or_minus_c_E*A
static_clock_rate_at_X	zero	DERIVED_CONDITIONAL_WRL	dtau_dt=sqrt_A
static_optical_reach_to_X	infinite	DERIVED_CONDITIONAL_WRL	rstar=2X_phi
static_proper_acceleration_to_hold_position	diverges	DERIVED_CONDITIONAL_WRL	c_E2_over_2X_sqrt_A
r_equals_X_surface_is_null	YES	DERIVED_CONDITIONAL_WRL	norm_of_dr_equals_A_to_zero
r_equals_X_surface_is_curvature_singular	NO	REFUTED	wall_Ricci_6_over_X2_and_Kretschmann_8_over_X4
regular_local_crossing_exists	YES	DERIVED_METRIC_WITNESS	ingoing_chart
every_observer_is_barred_from_crossing	NO	NOT_DERIVED	crossing_witness_defeats_metric_only_claim
all_frames_identify_same_surface_at_same_event	YES	DERIVED_LOCAL_FRAME_INVARIANCE	frame_change_does_not_change_scalar_surface
all_observer_origins_have_equivalent_X_spheres	OPEN_NOT_DERIVED	full_positional_recentring_obstructed_by_areal_angular_sector
same_X_numerical_parameter_for_all_frames	OWNER_WORKING_POSTULATE_NOT_REALIZED_GLOBALLY	WORKING	global_complete_metric_transformation_missing
observer_acceleration_history_selected_by_metric	NO	OPEN	eta_field_is_free_frame_data
material_signals_follow_metric_cone	OPEN_POSIT	OPEN	complete_action_source_and_response_missing
